"filename", "language", "YAML", "JavaScript", "JSON", "Docker", "XML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/Dockerfile", "Docker", 0, 0, 0, -6, 0, 0, 0, 0, -3, 0, -9
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/README.md", "Markdown", 0, 0, 0, 0, 0, -41, 0, 0, 0, -36, -77
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/package-lock.json", "JSON", 0, 0, -41303, 0, 0, 0, 0, 0, 0, -1, -41304
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/package.json", "JSON", 0, 0, -69, 0, 0, 0, 0, 0, 0, -1, -70
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -20, -23, -1, -44
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/public/manifest.json", "JSON", 0, 0, -25, 0, 0, 0, 0, 0, 0, -1, -26
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, -381, 0, -35, -71, -487
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/App.js", "JavaScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, -7, -39
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/App.test.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, -3, -12
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Assets/step1.svg", "XML", 0, 0, 0, 0, -14, 0, 0, 0, 0, -1, -15
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Assets/step2.svg", "XML", 0, 0, 0, 0, -16, 0, 0, 0, 0, -1, -17
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Assets/student.svg", "XML", 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Aboutpage.css", "CSS", 0, 0, 0, 0, 0, 0, -9, 0, 0, -3, -12
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/App.css", "CSS", 0, 0, 0, 0, 0, 0, -37, 0, 0, -7, -44
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Card.css", "CSS", 0, 0, 0, 0, 0, 0, -28, 0, 0, -4, -32
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/CurrentPageBanner.css", "CSS", 0, 0, 0, 0, 0, 0, -31, 0, -3, -8, -42
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Homepage.css", "CSS", 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Navbar.css", "CSS", 0, 0, 0, 0, 0, 0, -69, 0, -15, -15, -99
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Requestpage.css", "CSS", 0, 0, 0, 0, 0, 0, -43, 0, 0, -6, -49
"/Users/julielhote/Desktop/Desktop/FHNW/IP3_4/easystepconnect/client/src/Styles/Uploadpage.css", "CSS", 0, 0, 0, 0, 0, 0, -56, 0, -2, -12, -70
